Date,act1_price,act2_price,act3_price,act4_price,act5_price
24/05/2016,17706.05078,4861.060059,1135.310059,14.42,92.322189
25/05/2016,17851.50977,4894.890137,1141.02002,13.9,93.944206
26/05/2016,17828.28906,4901.77002,1139.75,13.43,94.689178
27/05/2016,17873.2207,4933.5,1150.449951,13.12,94.632599
31/05/2016,17787.19922,4948.049805,1154.790039,14.19,94.170525
01/06/2016,17789.66992,4952.25,1163.040039,14.2,92.850273
02/06/2016,17838.56055,4971.359863,1170.579956,13.63,92.152458
03/06/2016,17807.06055,4942.52002,1164.130005,13.47,92.341049
06/06/2016,17920.33008,4968.709961,1176.869995,13.65,93.01059
07/06/2016,17938.2793,4961.75,1179.969971,14.05,93.38781
08/06/2016,18005.05078,4974.640137,1188.949951,14.08,93.302933
09/06/2016,17985.18945,4958.620117,1181.199951,14.64,93.972481
10/06/2016,17865.33984,4894.549805,1163.930054,17.030001,93.199211
13/06/2016,17732.48047,4848.439941,1150.699951,20.969999,91.794083
14/06/2016,17674.82031,4843.549805,1147.819946,20.5,91.907257
15/06/2016,17640.16992,4834.930176,1149.300049,20.139999,91.605484
16/06/2016,17733.09961,4844.919922,1148.189941,19.370001,91.992149
17/06/2016,17675.16016,4800.339844,1144.699951,19.41,89.898605
20/06/2016,17804.86914,4837.209961,1157.699951,18.370001,89.681717
21/06/2016,17829.73047,4843.759766,1153.869995,18.48,90.445557
22/06/2016,17780.83008,4833.319824,1148.969971,21.17,90.106094
23/06/2016,18011.07031,4910.040039,1172.219971,17.25,90.624741
24/06/2016,17400.75,4707.97998,1127.540039,25.76,88.078583
27/06/2016,17140.24023,4594.439941,1089.650024,23.85,86.796043
28/06/2016,17409.7207,4691.870117,1107.300049,18.75,88.257751
29/06/2016,17694.67969,4779.25,1131.619995,16.639999,89.021591
30/06/2016,17929.99023,4842.669922,1151.920044,15.63,90.153221
01/07/2016,17949.36914,4862.569824,1156.77002,14.77,90.426697
05/07/2016,17840.61914,4822.899902,1139.449951,15.58,89.577995
06/07/2016,17918.61914,4859.160156,1147.329956,14.96,90.087227
